,Country,Total_over_65,Female_per,Physician,Underweight_total,Alcohol_cons_rec,Alcohol_cons_unrec,Alcohol_consumers_total,Heavy_drinking_total,Doc_num_per,beds,Life_expect_total_60,Dtt_dtp_immun,Dis_to_China,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED_PER100,FIRST_DATE_INT
36,Australia,16.2130580672445,50.2012381940135,3.7595,1.1,10.67,10.36,79.4,56.2,34.815,37.975,25.62,95.0,71.4042353414107,79.689,76.622,1.3760971223533258
29,Austria,19.2040036427437,50.705154112631,5.2114,1.6,12.015,11.93,78.1,54.5,50.43,74.7,24.09,85.0,98.33012299887544,73.654,68.747,-0.13526990841411618
13,Belgium,19.2542328598609,50.4355019182689,5.9556,0.9,11.45,10.8,76.5,54.2,33.35111111111111,57.471428571428575,24.02,98.0,108.80616783213998,77.081,76.061,-0.13526990841411618
5,Brazil,9.59227461561959,50.867485240326396,2.3106,2.7,7.640000000000001,7.32,40.3,56.0,20.5175,21.624000000000002,21.9,73.5,170.35824161382916,75.089,66.107,0.37802455486539244
12,Canada,18.104361505175397,50.368024805789396,2.6102,1.1,8.91,8.81,64.5,43.4,24.34,26.01428571428571,25.15,91.0,192.4962542872456,82.559,77.203,-0.5915316535514572
16,Chile,12.242657419222601,50.6927916513154,5.1824,0.7,9.165,8.95,67.6,40.0,41.785,21.200000000000003,24.27,94.5,195.73034760100523,89.573,85.748,-0.3919171400538705
9,China,11.9682712029347,48.7087371628449,1.9798,4.9,7.1,6.04,55.9,49.4,17.05142857142857,37.92,21.06,99.0,0.0,84.312,74.08,-4.72640371885861
34,Czechia,20.1429902620987,50.7654228945384,4.1157,0.8,14.35,14.26,75.4,68.2,38.93333333333334,66.60000000000001,22.07,97.0,97.7896323379165,63.376,61.426,-0.33488442191170287
32,Denmark,20.1639894465007,50.289017840017,4.2247,1.7,10.309999999999999,10.13,74.4,52.0,39.49375,26.471428571428568,23.59,97.0,128.76415464799967,86.856,82.484,-0.5344989354092896
30,Egypt,5.33168102488778,49.4765587287395,0.8217,1.5,0.38,0.14,2.8,21.0,7.908333333333334,13.0,17.83,94.5,81.2104410442942,31.37,19.133,0.5776390683629792
37,Finland,22.554487503429197,50.684983426335705,4.6404,0.8,10.98,10.65,72.5,51.6,37.915,41.01666666666667,24.16,91.0,90.80543028652967,78.512,74.392,-0.33488442191170287
6,France,20.753455410112696,51.6048791736532,6.5344,1.6,12.485,12.23,75.3,54.2,64.32,60.93333333333334,25.34,96.0,124.47107497390775,78.006,72.4,-0.13526990841411618
